t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,mini_x,mini_y,mini_z,carrier_sp_x,carrier_sp_y,carrier_sp_z,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed
3.220,IDLE,66.252371,-7.839339,65.331221,7.730000,-7.430633,6.692211,1.200000,54.000000,-30.000000,0.400000,45.786001,35.662325,8.190000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-8.213999,65.662325,7.790000,66.631035,-7.493209,6.622071,1.200000,10.071743
3.280,IDLE,66.631035,-8.213999,65.662325,7.790000,-7.493209,6.622071,1.200000,54.000000,-30.000000,0.400000,45.408248,35.989896,8.250000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-8.591752,65.989896,7.850000,67.008261,-7.555059,6.551418,1.200000,10.071743
3.340,IDLE,67.384045,-8.972561,66.313909,7.910000,-7.616183,6.480259,1.200000,54.000000,-30.000000,0.400000,45.027439,36.313909,8.310000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-8.972561,66.313909,7.910000,67.384045,-7.616183,6.480259,1.200000,10.071743
3.380,IDLE,67.384045,-8.972561,66.313909,7.910000,-7.616183,6.480259,1.200000,54.000000,-30.000000,0.400000,44.643610,36.634339,8.370000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-9.356390,66.634339,7.970000,67.758380,-7.676578,6.408600,1.200000,10.071743
3.440,IDLE,68.131262,-9.743202,66.951161,8.030000,-7.736243,6.336445,1.200000,54.000000,-30.000000,0.400000,44.256798,36.951161,8.430000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-9.743202,66.951161,8.030000,68.131262,-7.736243,6.336445,1.200000,10.071743
3.480,IDLE,68.131262,-9.743202,66.951161,8.030000,-7.736243,6.336445,1.200000,54.000000,-30.000000,0.400000,43.867039,37.264351,8.490000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-10.132961,67.264351,8.090000,68.502686,-7.795177,6.263802,1.200000,10.071743
3.540,IDLE,68.872646,-10.525630,67.573885,8.150000,-7.853378,6.190675,1.200000,54.000000,-30.000000,0.400000,43.474370,37.573885,8.550000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-10.525630,67.573885,8.150000,68.872646,-7.853378,6.190675,1.200000,10.071743
3.581,IDLE,68.872646,-10.525630,67.573885,8.150000,-7.853378,6.190675,1.200000,54.000000,-30.000000,0.400000,43.078828,37.879739,8.610000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-10.921172,67.879739,8.210000,69.241137,-7.910843,6.117072,1.200000,10.071743
3.620,IDLE,69.241137,-10.921172,67.879739,8.210000,-7.910843,6.117072,1.200000,54.000000,-30.000000,0.400000,42.680449,38.181888,8.670000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-11.319551,68.181888,8.270000,69.608153,-7.967571,6.042997,1.200000,10.071743
3.680,IDLE,69.608153,-11.319551,68.181888,8.270000,-7.967571,6.042997,1.200000,54.000000,-30.000000,0.400000,42.279271,38.480311,8.730000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-11.720729,68.480311,8.330000,69.973691,-8.023561,5.968456,1.200000,10.071743
3.720,IDLE,69.973691,-11.720729,68.480311,8.330000,-8.023561,5.968456,1.200000,54.000000,-30.000000,0.400000,41.875331,38.774984,8.790000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-12.124669,68.774984,8.390000,70.337743,-8.078810,5.893456,1.200000,10.071743
3.780,IDLE,70.337743,-12.124669,68.774984,8.390000,-8.078810,5.893456,1.200000,54.000000,-30.000000,0.400000,41.875331,38.774984,8.790000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-12.124669,68.774984,8.390000,70.337743,-8.078810,5.893456,1.200000,10.071743
3.840,IDLE,71.061372,-12.940689,69.352989,8.510000,-8.187080,5.742101,1.200000,54.000000,-30.000000,0.400000,41.059311,39.352989,8.910000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-12.940689,69.352989,8.510000,71.061372,-8.187080,5.742101,1.200000,10.071743
3.880,IDLE,71.061372,-12.940689,69.352989,8.510000,-8.187080,5.742101,1.200000,54.000000,-30.000000,0.400000,40.647306,39.636277,8.970000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-13.352694,69.636277,8.570000,71.420938,-8.240096,5.665759,1.200000,10.071743
3.920,IDLE,71.420938,-13.352694,69.636277,8.570000,-8.240096,5.665759,1.200000,54.000000,-30.000000,0.400000,40.232688,39.915726,9.030000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-13.767312,69.915726,8.630000,71.778998,-8.292364,5.588980,1.200000,10.071743
3.981,IDLE,71.778998,-13.767312,69.915726,8.630000,-8.292364,5.588980,1.200000,54.000000,-30.000000,0.400000,40.232688,39.915726,9.030000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-13.767312,69.915726,8.630000,71.778998,-8.292364,5.588980,1.200000,10.071743
4.020,IDLE,72.135546,-14.184506,70.191315,8.690000,-8.343882,5.511772,1.200000,54.000000,-30.000000,0.400000,39.395761,40.463022,9.150000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-14.604239,70.463022,8.750000,72.490577,-8.394648,5.434140,1.200000,10.071743
4.080,IDLE,72.490577,-14.604239,70.463022,8.750000,-8.394648,5.434140,1.200000,54.000000,-30.000000,0.400000,38.973528,40.730826,9.210000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-15.026472,70.730826,8.810000,72.844085,-8.444660,5.356091,1.200000,10.071743
4.120,IDLE,72.844085,-15.026472,70.730826,8.810000,-8.444660,5.356091,1.200000,54.000000,-30.000000,0.400000,38.548832,40.994708,9.270000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-15.451168,70.994708,8.870000,73.196066,-8.493917,5.277630,1.200000,10.071743
4.180,IDLE,73.196066,-15.451168,70.994708,8.870000,-8.493917,5.277630,1.200000,54.000000,-30.000000,0.400000,38.121712,41.254646,9.330000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-15.878288,71.254646,8.930000,73.546513,-8.542415,5.198764,1.200000,10.071743
4.240,IDLE,73.895421,-16.307796,71.510621,8.990000,-8.590153,5.119499,1.200000,54.000000,-30.000000,0.400000,37.692204,41.510621,9.390000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-16.307796,71.510621,8.990000,73.895421,-8.590153,5.119499,1.200000,10.071743
4.280,IDLE,73.895421,-16.307796,71.510621,8.990000,-8.590153,5.119499,1.200000,54.000000,-30.000000,0.400000,37.260347,41.762613,9.450000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-16.739653,71.762613,9.050000,74.242785,-8.637130,5.039841,1.200000,10.071743
4.340,IDLE,74.588599,-17.173820,72.010603,9.110000,-8.683342,4.959795,1.200000,54.000000,-30.000000,0.400000,36.826180,42.010603,9.510000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-17.173820,72.010603,9.110000,74.588599,-8.683342,4.959795,1.200000,10.071743
4.380,IDLE,74.588599,-17.173820,72.010603,9.110000,-8.683342,4.959795,1.200000,54.000000,-30.000000,0.400000,36.389741,42.254571,9.570000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,-17.610259,72.254571,9.170000,74.932858,-8.728789,4.879370,1.200000,10.071743
